Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Product_ID,Category_ID,SubCategory_ID,Geography_ID,Sales,Quantity,Discount,Profit
CA-2016-152156,2016-11-08,2016-11-11,Second Class,1,1,1,1,1,261.96,2,0.0,41.9136
CA-2016-152156,2016-11-08,2016-11-11,Second Class,1,2,1,2,1,731.94,3,0.0,219.582
CA-2016-138688,2016-06-12,2016-06-16,Second Class,2,3,2,3,2,14.62,2,0.0,6.8714
US-2015-108966,2015-10-11,2015-10-18,Standard Class,3,4,1,4,3,957.5775,5,0.45,-383.031
US-2015-108966,2015-10-11,2015-10-18,Standard Class,3,5,2,5,3,22.368,2,0.2,2.5164
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,4,6,1,6,2,48.86,7,0.0,14.1694
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,4,7,2,7,2,7.28,4,0.0,1.9656
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,4,8,3,8,2,907.152,6,0.2,90.7152
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,4,9,2,9,2,18.504,3,0.2,5.7825
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,4,10,2,10,2,114.9,5,0.0,34.47
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,4,11,1,4,2,1706.184,9,0.2,85.3092
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,4,12,3,8,2,911.424,4,0.2,68.3568
CA-2017-114412,2017-04-15,2017-04-20,Standard Class,5,13,2,11,4,15.552,3,0.2,5.4432
CA-2016-161389,2016-12-05,2016-12-10,Standard Class,6,14,2,9,5,407.976,3,0.2,132.5922
US-2015-118983,2015-11-22,2015-11-26,Standard Class,7,15,2,10,6,68.81,5,0.8,-123.858
US-2015-118983,2015-11-22,2015-11-26,Standard Class,7,16,2,9,6,2.544,3,0.8,-3.816
CA-2014-105893,2014-11-11,2014-11-18,Standard Class,8,17,2,5,7,665.88,6,0.0,13.3176
CA-2014-167164,2014-05-13,2014-05-15,Second Class,9,18,2,5,8,55.5,2,0.0,9.99
CA-2014-143336,2014-08-27,2014-09-01,Second Class,10,19,2,7,9,8.56,2,0.0,2.4824
CA-2014-143336,2014-08-27,2014-09-01,Second Class,10,20,3,8,9,213.48,3,0.2,16.011
CA-2014-143336,2014-08-27,2014-09-01,Second Class,10,21,2,9,9,22.72,4,0.2,7.384
CA-2016-137330,2016-12-09,2016-12-13,Standard Class,11,22,2,7,10,19.46,7,0.0,5.0596
CA-2016-137330,2016-12-09,2016-12-13,Standard Class,11,23,2,10,10,60.34,7,0.0,15.6884
US-2017-156909,2017-07-16,2017-07-18,Second Class,12,24,1,2,11,71.372,2,0.3,-1.0196
CA-2015-106320,2015-09-25,2015-09-30,Standard Class,13,4,1,4,12,1044.63,3,0.0,240.2649
CA-2016-121755,2016-01-16,2016-01-20,Second Class,14,25,2,9,2,11.648,2,0.2,4.2224
CA-2016-121755,2016-01-16,2016-01-20,Second Class,14,26,3,12,2,90.57,3,0.0,11.7741
US-2015-150630,2015-09-17,2015-09-21,Standard Class,15,27,1,1,11,3083.43,7,0.5,-1665.0522
US-2015-150630,2015-09-17,2015-09-21,Standard Class,15,28,2,9,11,9.618,2,0.7,-7.0532
US-2015-150630,2015-09-17,2015-09-21,Standard Class,15,29,1,6,11,124.2,3,0.2,15.525
US-2015-150630,2015-09-17,2015-09-21,Standard Class,15,30,2,13,11,3.264,2,0.2,1.1016
US-2015-150630,2015-09-17,2015-09-21,Standard Class,15,31,2,7,11,86.304,6,0.2,9.7092
US-2015-150630,2015-09-17,2015-09-21,Standard Class,15,32,2,9,11,6.858,6,0.7,-5.715
US-2015-150630,2015-09-17,2015-09-21,Standard Class,15,33,2,7,11,15.76,2,0.2,3.546
CA-2017-107727,2017-10-19,2017-10-23,Second Class,16,34,2,11,13,29.472,3,0.2,9.9468
CA-2016-117590,2016-12-08,2016-12-10,First Class,17,35,3,8,14,1097.544,7,0.2,123.4737
CA-2016-117590,2016-12-08,2016-12-10,First Class,17,36,1,6,14,190.92,5,0.6,-147.963
CA-2015-117415,2015-12-27,2015-12-31,Standard Class,18,37,2,13,13,113.328,9,0.2,35.415
CA-2015-117415,2015-12-27,2015-12-31,Standard Class,18,38,1,1,13,532.3992,3,0.32,-46.9764
CA-2015-117415,2015-12-27,2015-12-31,Standard Class,18,39,1,2,13,212.058,3,0.3,-15.147
CA-2015-117415,2015-12-27,2015-12-31,Standard Class,18,40,3,8,13,371.168,4,0.2,41.7564
CA-2017-120999,2017-09-10,2017-09-15,Standard Class,19,41,3,8,15,147.168,4,0.2,16.5564
CA-2016-101343,2016-07-17,2016-07-22,Standard Class,20,42,2,5,2,77.88,2,0.0,3.894
CA-2017-139619,2017-09-19,2017-09-23,Standard Class,21,43,2,5,16,95.616,2,0.2,9.5616
CA-2016-118255,2016-03-11,2016-03-13,First Class,22,44,3,12,17,45.98,2,0.0,19.7714
CA-2016-118255,2016-03-11,2016-03-13,First Class,22,45,2,9,17,17.46,2,0.0,8.2062
CA-2014-146703,2014-10-20,2014-10-25,Second Class,23,46,2,5,18,211.96,4,0.0,8.4784
CA-2016-169194,2016-06-20,2016-06-25,Standard Class,24,47,3,12,19,45.0,3,0.0,4.95
CA-2016-169194,2016-06-20,2016-06-25,Standard Class,24,48,3,8,19,21.8,2,0.0,6.104
CA-2015-115742,2015-04-18,2015-04-22,Standard Class,25,49,2,9,20,38.22,6,0.0,17.9634
CA-2015-115742,2015-04-18,2015-04-22,Standard Class,25,50,2,3,20,75.18,6,0.0,35.3346
CA-2015-115742,2015-04-18,2015-04-22,Standard Class,25,51,1,6,20,6.16,2,0.0,2.9568
CA-2015-115742,2015-04-18,2015-04-22,Standard Class,25,52,1,2,20,89.99,1,0.0,17.0981
CA-2016-105816,2016-12-11,2016-12-17,Standard Class,26,53,2,14,21,15.26,7,0.0,6.2566
CA-2016-105816,2016-12-11,2016-12-17,Standard Class,26,54,3,8,21,1029.95,5,0.0,298.6855
CA-2016-111682,2016-06-17,2016-06-18,First Class,27,55,2,5,22,208.56,6,0.0,52.14
CA-2016-111682,2016-06-17,2016-06-18,First Class,27,56,2,11,22,32.4,5,0.0,15.552
CA-2016-111682,2016-06-17,2016-06-18,First Class,27,57,1,2,22,319.41,5,0.1,7.098
CA-2016-111682,2016-06-17,2016-06-18,First Class,27,58,2,11,22,14.56,2,0.0,6.9888
CA-2016-111682,2016-06-17,2016-06-18,First Class,27,47,3,12,22,30.0,2,0.0,3.3
CA-2016-111682,2016-06-17,2016-06-18,First Class,27,59,2,9,22,48.48,4,0.2,16.362
CA-2016-111682,2016-06-17,2016-06-18,First Class,27,60,2,7,22,1.68,1,0.0,0.84
CA-2015-135545,2015-11-24,2015-11-30,Standard Class,28,61,3,12,2,13.98,2,0.0,6.1512
CA-2015-135545,2015-11-24,2015-11-30,Standard Class,28,62,2,9,2,25.824,6,0.2,9.3612
CA-2015-135545,2015-11-24,2015-11-30,Standard Class,28,63,2,11,2,146.73,3,0.0,68.9631
